Movie_Name,output,timestamp
Minions,"                  Movies_Name  Popularity
0                     Minions   25.281320
1                     #Horror  150.437577
2        (500) Days of Summer  139.082615
3         10 Cloverfield Lane  107.376788
4       10 Days in a Madhouse  112.312950
5  10 Things I Hate About You   43.926995
6              102 Dalmatians  115.699814
7                 10th & Wolf   48.681969
8                       11:14  134.279229
9                12 Angry Men   98.885637",2025-03-21 17:21:56.838753
Minions,"                  Movies_Name  Popularity
0                     Minions   25.281320
1                     #Horror  150.437577
2        (500) Days of Summer  139.082615
3         10 Cloverfield Lane  107.376788
4       10 Days in a Madhouse  112.312950
5  10 Things I Hate About You   43.926995
6              102 Dalmatians  115.699814
7                 10th & Wolf   48.681969
8                       11:14  134.279229
9                12 Angry Men   98.885637",2025-03-21 17:21:59.183867
